,antecedent,pd,cls,conf_pd,conf_pnd,elift,sup_pd,sup_pnd
263,"['NationalITy=Jordan', 'raisedhands=x>75']",gender=F,class=L,0.2,0.43478260869565216,0.46,5.0,20.0
295,['AnnouncementsView=x>73'],gender=F,class=L,0.21739130434782608,0.4117647058823529,0.5279503105590062,5.0,28.0
214,"['raisedhands=50<x<75', 'AnnouncementsView=49<x<73']",gender=F,class=L,0.35714285714285715,0.5675675675675675,0.6292517006802721,5.0,21.0
62,"['NationalITy=Jordan', 'SectionID=B', 'Discussion=25<x<50']",gender=F,class=L,0.4166666666666667,0.65,0.6410256410256411,5.0,13.0
256,['raisedhands=x>75'],gender=F,class=L,0.26,0.39655172413793105,0.6556521739130434,13.0,46.0
228,"['NationalITy=Jordan', 'AnnouncementsView=49<x<73']",gender=F,class=L,0.47058823529411764,0.6976744186046512,0.6745098039215686,8.0,30.0
219,['AnnouncementsView=49<x<73'],gender=F,class=L,0.3902439024390244,0.5784313725490197,0.6746589499793303,16.0,59.0
243,['Topic=English'],gender=F,class=L,0.42105263157894735,0.6222222222222222,0.6766917293233082,8.0,28.0
276,"['NationalITy=Jordan', 'SectionID=B', 'GradeID=G-02']",gender=F,class=L,0.5,0.7333333333333333,0.6818181818181819,6.0,22.0
126,"['NationalITy=Jordan', 'SectionID=B']",gender=F,class=L,0.4583333333333333,0.6666666666666666,0.6875,11.0,34.0
234,['Topic=Science'],gender=F,class=L,0.4782608695652174,0.6862745098039216,0.6968944099378882,11.0,35.0
63,"['NationalITy=Jordan', 'Discussion=25<x<50']",gender=F,class=L,0.52,0.7454545454545455,0.697560975609756,13.0,41.0
197,['GradeID=G-06'],gender=F,class=L,0.4,0.5625,0.7111111111111111,6.0,18.0
180,"['Discussion=1<x<25', 'GradeID=G-08']",gender=F,class=L,0.6,0.8421052631578947,0.7125,6.0,32.0
98,['Discussion=50<x<74'],gender=F,class=L,0.4411764705882353,0.6172839506172839,0.7147058823529412,15.0,50.0
311,"['raisedhands=0<x<25', 'SectionID=B', 'Topic=French']",gender=F,class=L,0.5555555555555556,0.7647058823529411,0.7264957264957266,5.0,13.0
325,"['raisedhands=0<x<25', 'SectionID=B', 'GradeID=G-02', 'Topic=French']",gender=F,class=L,0.5555555555555556,0.7647058823529411,0.7264957264957266,5.0,13.0
158,"['Discussion=1<x<25', 'raisedhands=50<x<75']",gender=F,class=L,0.5,0.6818181818181818,0.7333333333333334,6.0,15.0
187,"['Discussion=25<x<50', 'GradeID=G-08']",gender=F,class=L,0.6,0.8148148148148148,0.7363636363636363,6.0,22.0
46,"['Topic=Science', 'GradeID=G-04']",gender=F,class=L,0.4666666666666667,0.6296296296296297,0.7411764705882353,7.0,17.0
59,"['SectionID=B', 'Discussion=25<x<50']",gender=F,class=L,0.5,0.6727272727272727,0.7432432432432432,9.0,37.0
332,"['raisedhands=0<x<25', 'GradeID=G-02', 'Topic=French']",gender=F,class=L,0.6363636363636364,0.8333333333333334,0.7636363636363636,7.0,20.0
339,"['raisedhands=0<x<25', 'Topic=French']",gender=F,class=L,0.6363636363636364,0.8333333333333334,0.7636363636363636,7.0,20.0
323,"['SectionID=B', 'GradeID=G-02', 'Topic=French']",gender=F,class=L,0.47368421052631576,0.6190476190476191,0.7651821862348177,9.0,26.0
253,['NationalITy=Jordan'],gender=F,class=L,0.5316455696202531,0.6918604651162791,0.7684288905435591,42.0,119.0
182,['GradeID=G-08'],gender=F,class=L,0.5555555555555556,0.7155172413793104,0.7764390896921017,20.0,83.0
41,['GradeID=G-04'],gender=F,class=L,0.55,0.7083333333333334,0.7764705882352941,11.0,34.0
8,"['SectionID=B', 'Discussion=1<x<25']",gender=F,class=L,0.5833333333333334,0.75,0.7777777777777778,14.0,42.0
271,"['NationalITy=Jordan', 'raisedhands=0<x<25', 'GradeID=G-02']",gender=F,class=L,0.6666666666666666,0.8571428571428571,0.7777777777777778,8.0,24.0
273,"['SectionID=B', 'GradeID=G-02']",gender=F,class=L,0.5428571428571428,0.6914893617021277,0.7850549450549449,19.0,65.0
58,"['raisedhands=0<x<25', 'SectionID=B', 'Discussion=25<x<50']",gender=F,class=L,0.7142857142857143,0.9090909090909091,0.7857142857142858,5.0,20.0
124,"['NationalITy=Jordan', 'raisedhands=0<x<25', 'SectionID=B']",gender=F,class=L,0.6363636363636364,0.8095238095238095,0.7860962566844919,7.0,17.0
10,['Discussion=1<x<25'],gender=F,class=L,0.6538461538461539,0.8280254777070064,0.7896449704142011,34.0,130.0
161,"['NationalITy=Jordan', 'raisedhands=50<x<75']",gender=F,class=L,0.4444444444444444,0.5588235294117647,0.7953216374269005,8.0,19.0
308,"['SectionID=B', 'Topic=French']",gender=F,class=L,0.5,0.627906976744186,0.7962962962962963,10.0,27.0
353,"['GradeID=G-08', 'Topic=Geology']",gender=F,class=L,0.6,0.75,0.7999999999999999,6.0,18.0
146,"['SectionID=B', 'raisedhands=50<x<75']",gender=F,class=L,0.35,0.4375,0.7999999999999999,7.0,21.0
185,"['AnnouncementsView=24<x<49', 'GradeID=G-08']",gender=F,class=L,0.6,0.75,0.7999999999999999,9.0,24.0
351,['Topic=Geology'],gender=F,class=L,0.6,0.75,0.7999999999999999,6.0,18.0
249,['StageID=HighSchool'],gender=F,class=L,0.5333333333333333,0.6666666666666666,0.8,8.0,22.0
242,"['NationalITy=Jordan', 'Topic=Science']",gender=F,class=L,0.5,0.625,0.8,7.0,15.0
181,"['NationalITy=Jordan', 'Discussion=1<x<25', 'GradeID=G-08']",gender=F,class=L,0.625,0.7777777777777778,0.8035714285714286,5.0,14.0
277,"['Discussion=25<x<50', 'GradeID=G-02']",gender=F,class=L,0.5,0.62,0.8064516129032259,6.0,31.0
82,['VisITedResources=49<x<74'],gender=F,class=L,0.5357142857142857,0.6626506024096386,0.8084415584415584,15.0,55.0
272,"['raisedhands=0<x<25', 'SectionID=B', 'GradeID=G-02']",gender=F,class=L,0.7333333333333333,0.9069767441860465,0.8085470085470086,11.0,39.0
230,"['SectionID=B', 'Topic=Science']",gender=F,class=L,0.5714285714285714,0.7058823529411765,0.8095238095238094,8.0,24.0
289,"['NationalITy=Jordan', 'GradeID=G-02']",gender=F,class=L,0.6363636363636364,0.7818181818181819,0.813953488372093,14.0,43.0
188,"['NationalITy=Jordan', 'GradeID=G-08']",gender=F,class=L,0.5555555555555556,0.6792452830188679,0.8179012345679013,15.0,36.0
121,['SectionID=B'],gender=F,class=L,0.559322033898305,0.6826347305389222,0.81935771632471,33.0,114.0
136,"['Discussion=1<x<25', 'AnnouncementsView=24<x<49']",gender=F,class=L,0.6428571428571429,0.7837837837837838,0.8201970443349754,9.0,29.0
292,"['Topic=IT', 'SectionID=C']",gender=F,class=L,0.7142857142857143,0.8666666666666667,0.8241758241758241,5.0,13.0
293,"['GradeID=G-02', 'Topic=IT', 'SectionID=C']",gender=F,class=L,0.7142857142857143,0.8666666666666667,0.8241758241758241,5.0,13.0
6,"['NationalITy=Jordan', 'raisedhands=0<x<25', 'Discussion=1<x<25']",gender=F,class=L,0.6923076923076923,0.84,0.8241758241758241,9.0,21.0
